📏|||strlen|||String Length|||len([1])|||[1].length|||[1].len()|||len([1])|||[1].length()|||[1].length()|||[1].Length|||[1].count|||[1].length|||\text{len}([1])
🗂️|||count|||Array / List Length|||len([1])|||[1].length|||[1].len()|||len([1])|||[1].size()|||[1].size()|||[1].Count|||[1].count|||[1].size|||[1]\text{.size}
📥|||push|||Append to Array|||[1].append([2])|||[1].push([2])|||[1].push([2])|||append([1], [2])|||[1].add([2])|||[1].push_back([2])|||[1].Add([2])|||[1].append([2])|||[1].add([2])|||[1] \leftarrow [1] \cup \{[2]\}
🗺️|||dict|||Map / Dictionary Creation|||{[1]: [2]}|||{[1]: [2]}|||std::collections::HashMap::from([([1], [2])])|||map[any]any{[1]: [2]}|||new HashMap<>(Map.of([1], [2]))|||std::map<any, any>{{[1], [2]}}|||new Dictionary<any, any>{{[1], [2]}}|||[[1]: [2]]|||mapOf([1] to [2])|||\{[1] \mapsto [2]\}
# ==========================================
# SECTION 6 : Error Handling & Type Casting
# ==========================================
🛡️|||try|||Error Handling Try|||try:|||try {|||if let Ok([2]) = [1] {|||if [1] == nil {|||try {|||try {|||try {|||do {|||try {|||\text{try } [1]
🪤|||catch|||Error Handling Catch|||except Exception as [1]:|||} catch ([1]) {|||if let Err([1]) = [2] {|||if [1] != nil {|||} catch (Exception [1]) {|||} catch (const std::exception& [1]) {|||} catch (Exception [1]) {|||} catch [1] {|||} catch ([1]: Exception) {|||\text{catch } [1]
🔢|||parseInt|||String to Integer|||int([1])|||parseInt([1], 10)|||[1].parse::<i32>()|||strconv.Atoi([1])|||Integer.parseInt([1])|||std::stoi([1])|||int.Parse([1])|||Int([1])|||[1].toInt()|||\text{int}([1])
🔤|||str|||Value to String|||str([1])|||String([1])|||[1].to_string()|||fmt.Sprint([1])|||String.valueOf([1])|||std::to_string([1])|||[1].ToString()|||String([1])|||[1].toString()|||\text{str}([1])
# ==========================================
# SECTION 7 : Bitwise Operations
# ==========================================
🧬|||bit_and|||Bitwise AND|||[1] & [2]|||[1] & [2]|||[1] & [2]|||[1] & [2]|||[1] & [2]|||[1] & [2]|||[1] & [2]|||[1] & [2]|||[1] and [2]|||[1] \ \& \ [2]
🧬|||bit_or|||Bitwise OR|||[1] | [2]|||[1] | [2]|||[1] | [2]|||[1] | [2]|||[1] | [2]|||[1] | [2]|||[1] | [2]|||[1] | [2]|||[1] or [2]|||[1] \mid [2]
🧬|||bit_xor|||Bitwise XOR|||[1] ^ [2]|||[1] ^ [2]|||[1] ^ [2]|||[1] ^ [2]|||[1] ^ [2]|||[1] ^ [2]|||[1] ^ [2]|||[1] ^ [2]|||[1] xor [2]|||[1] \oplus [2]
左|||bit_shl|||Bitwise Left Shift|||[1] << [2]|||[1] << [2]|||[1] << [2]|||[1] << [2]|||[1] << [2]|||[1] << [2]|||[1] << [2]|||[1] << [2]|||[1] shl [2]|||[1] \ll [2]
右|||bit_shr|||Bitwise Right Shift|||[1] >> [2]|||[1] >> [2]|||[1] >> [2]|||[1] >> [2]|||[1] >> [2]|||[1] >> [2]|||[1] >> [2]|||[1] >> [2]|||[1] shr [2]|||[1] \gg [2]
# ==========================================
# SECTION 8 : Data Serialization & Time
# ==========================================
🕸️|||json_str|||JSON Serialization|||json.dumps([1])|||JSON.stringify([1])|||serde_json::to_string(&[1])|||json.Marshal([1])|||gson.toJson([1])|||nlohmann::json([1]).dump()|||JsonSerializer.Serialize([1])|||try? JSONEncoder().encode([1])|||Json.encodeToString([1])|||\text{json}([1])
🕸️|||json_parse|||JSON Deserialization|||json.loads([1])|||JSON.parse([1])|||serde_json::from_str([1])|||json.Unmarshal([1], &[2])|||gson.fromJson([1], Object.class)|||nlohmann::json::parse([1])|||JsonSerializer.Deserialize<object>([1])|||try? JSONDecoder().decode(Type.self, from: [1])|||Json.parseToJsonElement([1])|||\text{parse}([1])
⏳|||time_now|||Current Timestamp|||time.time()|||Date.now()|||std::time::SystemTime::now()|||time.Now()|||System.currentTimeMillis()|||std::chrono::system_clock::now()|||DateTime.UtcNow|||Date()|||System.currentTimeMillis()|||\text{now}()
💤|||sleep|||Execution Delay|||time.sleep([1])|||await new Promise(r => setTimeout(r, [1]))|||std::thread::sleep(std::time::Duration::from_millis([1]))|||time.Sleep([1] * time.Millisecond)|||Thread.sleep([1])|||std::this_thread::sleep_for(std::chrono::milliseconds([1]))|||Thread.Sleep([1])|||try? await Task.sleep(nanoseconds: UInt64([1]) * 1_000_000)|||delay([1])|||\text{sleep}([1])
# ==========================================
# SECTION 9 : Object & Structure Basics
# ==========================================
🏗️|||class|||Structure / Class Declaration|||class [1]:|||class [1] {|||struct [1] {|||type [1] struct {|||class [1] {|||class [1] {|||class [1] {|||class [1] {|||class [1] {|||\text{class } [1]
🌱|||new|||Instance Instantiation|||[1]()|||new [1]()|||[1]::new()|||&[1]{}|||new [1]()|||std::make_unique<[1]>()|||new [1]()|||[1]()|||[1]()|||\text{new } [1]
🎯|||this|||Self Instance Reference|||self|||this|||self|||receiver|||this|||this|||this|||self|||this|||\text{this}
# ==========================================
# SECTION 10 : File I/O & File System
# ==========================================
📂|||file_read|||Read File to String|||open([1]).read()|||fs.readFileSync([1], 'utf8')|||fs::read_to_string([1])|||os.ReadFile([1])|||Files.readString(Path.of([1]))|||std::ifstream([1])|||File.ReadAllText([1])|||String(contentsOfFile: [1])|||File([1]).readText()|||\text{read}([1])
💾|||file_write|||Write String to File|||open([1], 'w').write([2])|||fs.writeFileSync([1], [2])|||fs::write([1], [2])|||os.WriteFile([1], []byte([2]), 0644)|||Files.writeString(Path.of([1]), [2])|||std::ofstream([1]) << [2]|||File.WriteAllText([1], [2])|||try? [2].write(toFile: [1], atomically: true, encoding: .utf8)|||File([1]).writeText([2])|||\text{write}([1], [2])
🔍|||file_exist|||Check File Existence|||os.path.exists([1])|||fs.existsSync([1])|||std::path::Path::new([1]).exists()|||_, err := os.Stat([1]); os.IsNotExist(err)|||Files.exists(Path.of([1]))|||std::filesystem::exists([1])|||File.Exists([1])|||FileManager.default.fileExists(atPath: [1])|||File([1]).exists()|||\text{exists}([1])
# ==========================================
# SECTION 11 : Concurrency & Async
# ==========================================
⚡|||async|||Asynchronous Function|||async def [1]():|||async function [1]() {|||async fn [1]() {|||go func() {|||CompletableFuture.runAsync(() -> {})|||std::async(std::launch::async, [1])|||async Task [1]() {|||func [1]() async {|||suspend fun [1]() {|||\text{async } [1]
⏳|||await|||Await Async Operation|||await [1]|||await [1]|||[1].await|||<-[1]|||[1].get()|||[1].get()|||await [1]|||await [1]|||[1].await()|||\text{await } [1]
🧵|||thread|||Spawn OS Thread|||threading.Thread(target=[1]).start()|||new Worker([1])|||std::thread::spawn([1])|||go [1]()|||new Thread([1]).start()|||std::thread([1])|||new Thread([1]).Start()|||Thread.detachNewThread { [1]() }|||Thread([1]).start()|||\text{spawn}([1])
# ==========================================
# SECTION 12 : Cryptography & Hashing
# ==========================================
🔒|||sha256|||SHA-256 Secure Hash|||hashlib.sha256([1].encode()).hexdigest()|||crypto.createHash('sha256').update([1]).digest('hex')|||sha256::digest([1])|||sha256.Sum256([]byte([1]))|||MessageDigest.getInstance("SHA-256").digest([1])|||openssl::sha256([1])|||SHA256.HashData(Encoding.UTF8.GetBytes([1]))|||SHA256.hash(data: [1].data(using: .utf8))|||MessageDigest.getInstance("SHA-256").digest([1].toByteArray())|||\mathcal{H}_{256}([1])
🔑|||md5|||MD5 Hash|||hashlib.md5([1].encode()).hexdigest()|||crypto.createHash('md5').update([1]).digest('hex')|||md5::compute([1])|||md5.Sum([]byte([1]))|||MessageDigest.getInstance("MD5").digest([1])|||openssl::md5([1])|||MD5.HashData(Encoding.UTF8.GetBytes([1]))|||Insecure.MD5.hash(data: [1].data(using: .utf8))|||MessageDigest.getInstance("MD5").digest([1].toByteArray())|||\mathcal{H}_{md5}([1])
# ==========================================
# SECTION 13 : Networking & HTTP Requests
# ==========================================
🌐|||http_get|||HTTP GET Request|||requests.get([1]).text|||await (await fetch([1])).text()|||reqwest::get([1]).await?.text().await?|||http.Get([1])|||HttpClient.newHttpClient().send([1], BodyHandlers.ofString())|||cpr::Get(cpr::Url{[1]}).text|||await new HttpClient().GetStringAsync([1])|||String(contentsOf: URL(string: [1])!)|||URL([1]).readText()|||\text{get}([1])
📤|||http_post|||HTTP POST Request|||requests.post([1], data=[2])|||await fetch([1], {method:'POST', body:[2]})|||reqwest::Client::new().post([1]).body([2]).send().await?|||http.Post([1], "application/json", [2])|||HttpClient.newHttpClient().send(HttpRequest.newBuilder().uri(URI.create([1])).POST(BodyPublishers.ofString([2])).build(), BodyHandlers.ofString())|||cpr::Post(cpr::Url{[1]}, cpr::Body{[2]}).text|||await new HttpClient().PostAsync([1], new StringContent([2]))|||var r=URLRequest(url:URL(string:[1])!);r.httpMethod="POST";r.httpBody=[2];URLSession.shared.data(for:r)|||HttpClient().post([1]){setBody([2])}|||\text{post}([1], [2])
# ==========================================
# SECTION 14 : System, Process & Environment
# ==========================================
🌿|||env_get|||Get Environment Variable|||os.environ.get([1])|||process.env[[1]]|||std::env::var([1])|||os.Getenv([1])|||System.getenv([1])|||std::getenv([1])|||Environment.GetEnvironmentVariable([1])|||ProcessInfo.processInfo.environment[[1]]|||System.getenv([1])|||\text{env}([1])
💻|||cmd_exec|||Execute System Command|||subprocess.run([1], shell=True)|||child_process.execSync([1])|||std::process::Command::new([1]).output()|||exec.Command([1]).Run()|||Runtime.getRuntime().exec([1])|||std::system([1])|||Process.Start([1])|||Process.run(URL(fileURLWithPath:[1]), arguments:[])|||Runtime.getRuntime().exec([1])|||\text{exec}([1])
🚪|||sys_exit|||Terminate Process|||sys.exit([1])|||process.exit([1])|||std::process::exit([1])|||os.Exit([1])|||System.exit([1])|||std::exit([1])|||Environment.Exit([1])|||exit([1])|||exitProcess([1])|||\text{exit}([1])
# ==========================================
# SECTION 15 : Functional Primitives
# ==========================================
🧪|||map|||Transform Collection Elements|||list(map([1], [2]))|||[2].map([1])|||[2].iter().map([1]).collect()|||for _, v := range [2] { [1](v) }|||[2].stream().map([1]).collect(Collectors.toList())|||std::transform([2].begin(), [2].end(), [2].begin(), [1])|||[2].Select([1]).ToList()|||[2].map([1])|||[2].map([1])|||\text{map}([1], [2])
filter|||filter|||Filter Collection Elements|||list(filter([1], [2]))|||[2].filter([1])|||[2].into_iter().filter([1]).collect()|||for _, v := range [2] { if [1](v) {} }|||[2].stream().filter([1]).collect(Collectors.toList())|||std::copy_if([2].begin(), [2].end(), std::back_inserter(res), [1])|||[2].Where([1]).ToList()|||[2].filter([1])|||[2].filter([1])|||\text{filter}([1], [2])
# ==========================================
# SECTION 16 : Math & Core Arithmetic
# ==========================================
🧮|||math_abs|||Absolute Value|||abs([1])|||Math.abs([1])|||[1].abs()|||math.Abs([1])|||Math.abs([1])|||std::abs([1])|||Math.Abs([1])|||abs([1])|||abs([1])|||\left| [1] \right|
📈|||math_pow|||Exponentiation / Power|||[1] ** [2]|||Math.pow([1], [2])|||[1].pow([2])|||math.Pow([1], [2])|||Math.pow([1], [2])|||std::pow([1], [2])|||Math.Pow([1], [2])|||pow([1], [2])|||[1].pow([2])|||[1]^{[2]}
√|||math_sqrt|||Square Root|||math.sqrt([1])|||Math.sqrt([1])|||[1].sqrt()|||math.Sqrt([1])|||Math.sqrt([1])|||std::sqrt([1])|||Math.Sqrt([1])|||sqrt([1])|||sqrt([1])|||\sqrt{[1]}
🎲|||math_rand|||Random Number (0-1)|||random.random()|||Math.random()|||rand::random::<f64>()|||rand.Float64()|||Math.random()|||(double)rand()/RAND_MAX|||new Random().NextDouble()|||Double.random(in: 0...1)|||Random.nextDouble()|||\text{rand}()
# ==========================================
# SECTION 17 : Regular Expressions (RegEx)
# ==========================================
🎯|||regex_match|||RegEx Pattern Matching|||re.match([1], [2])|||new RegExp([1]).test([2])|||Regex::new([1]).unwrap().is_match([2])|||regexp.MustCompile([1]).MatchString([2])|||Pattern.matches([1], [2])|||std::regex_match([2], std::regex([1]))|||Regex.IsMatch([2], [1])|||[2].range(of: [1], options: .regularExpression) != nil|||Regex([1]).containsMatchIn([2])|||[2] \sim [1]
✏️|||regex_replace|||RegEx Global Replace|||re.sub([1], [2], [3])|||[3].replace(new RegExp([1], 'g'), [2])|||Regex::new([1]).unwrap().replace_all([3], [2])|||regexp.MustCompile([1]).ReplaceAllString([3], [2])|||[3].replaceAll([1], [2])|||std::regex_replace([3], std::regex([1]), [2])|||Regex.Replace([3], [1], [2])|||[3].replacingOccurrences(of: [1], with: [2], options: .regularExpression)|||[3].replace(Regex([1]), [2])|||\text{sub}([3], [1] \rightarrow [2])
# ==========================================
# SECTION 18 : Testing & Assertions
# ==========================================
🚨|||assert_eq|||Assert Equality|||assert [1] == [2]|||console.assert([1] === [2])|||assert_eq!([1], [2])|||if [1] != [2] { panic() }|||assertEquals([1], [2])|||assert([1] == [2])|||Assert.AreEqual([1], [2])|||XCTAssertEqual([1], [2])|||assertEquals([1], [2])|||[1] \equiv [2]
# ==========================================
# SECTION 19 : Advanced Collections Operations
# ==========================================
🧼|||sort|||Sort Collection|||[1].sort()|||[1].sort()|||[1].sort()|||sort.Slice([1], func(i, j int) bool { return [1][i] < [1][j] })|||Collections.sort([1])|||std::sort([1].begin(), [1].end())|||[1].Sort()|||[1].sort()|||[1].sort()|||\text{sort}([1])
🙃|||reverse|||Reverse Collection|||[1].reverse()|||[1].reverse()|||[1].reverse()|||for i, j := 0, len([1])-1; i < j; i, j = i+1, j-1 { [1][i], [1][j] = [1][j], [1][i] }|||Collections.reverse([1])|||std::reverse([1].begin(), [1].end())|||[1].Reverse()|||[1].reverse()|||[1].reverse()|||\text{reverse}([1])
🎯|||includes|||Collection Contains Element|||[2] in [1]|||[1].includes([2])|||[1].contains(&[2])|||slices.Contains([1], [2])|||[1].contains([2])|||std::find([1].begin(), [1].end(), [2]) != [1].end()|||[1].Contains([2])|||[1].contains([2])|||[1].contains([2])|||[2] \in [1]
✂️|||slice|||Extract Sub-array / Slice|||[1][[2]:[3]]|||[1].slice([2], [3])|||&[1][[2]..[3]]|||[1][[2]:[3]]|||[1].subList([2], [3])|||std::vector<any>([1].begin()+[2], [1].begin()+[3])|||[1][[2]..[3]]|||Array([1][[2]..<[3]])|||[1].subList([2], [3])|||[1]_{[[2]:[3]]}
# ==========================================
# SECTION 20 : Memory & Reference Management
# ==========================================
👥|||clone|||Deep Copy / Clone Object|||copy.deepcopy([1])|||structuredClone([1])|||[1].clone()|||json.Unmarshal(json.Marshal([1]), &[2])|||[1].clone()|||auto [2] = [1]|||JsonSerializer.Deserialize<T>(JsonSerializer.Serialize([1]))|||[1]|||[1].copy()|||\text{clone}([1])
📍|||address|||Get Memory Address / Pointer|||id([1])|||not_supported|||&[1] as *const _|||&[1]|||System.identityHashCode([1])|||&[1]|||fixed(void* p = &[1])|||withUnsafePointer(to: &[1]) { $0 }|||System.identityHashCode([1])|||\text{addr}([1])
#===========================================
# SECTION 21 : CLI Executable Context
# ==========================================
📥|||cli_args|||Command Line Arguments|||sys.argv|||process.argv|||std::env::args().collect::<Vec<_>>()|||os.Args|||args|||argv|||Environment.GetCommandLineArgs()|||CommandLine.arguments|||args|||\text{args}
# ==========================================
# SECTION 22 : System Information & Diagnostics
# ==========================================
🆔|||sys_pid|||Get Current Process ID|||os.getpid()|||process.pid|||std::process::id()|||os.Getpid()|||ProcessHandle.current().pid()|||getpid()|||Environment.ProcessId|||ProcessInfo.processInfo.processIdentifier|||ProcessHandle.current().pid()|||\text{pid}()
🎛️|||sys_os|||Get OS Platform Name|||sys.platform|||process.platform|||std::env::consts::OS|||runtime.GOOS|||System.getProperty("os.name")|||not_standard|||Environment.OSVersion.Platform.ToString()|||ProcessInfo.processInfo.operatingSystemVersionString|||System.getProperty("os.name")|||\text{os}()
# ==========================================
# SECTION 23 : Low-Level Thread Synchronization
# ==========================================
🔒|||mutex_init|||Initialize Mutex Lock|||threading.Lock()|||not_supported|||std::sync::Mutex::new([1])|||new(sync.Mutex)|||new ReentrantLock()|||std::mutex()|||new object()|||NSLock()|||ReentrantLock()|||\text{mutex}()
🔑|||mutex_lock|||Acquire Mutex Lock|||[1].acquire()|||not_supported|||let _guard = [1].lock().unwrap();|||[1].Lock()|||[1].lock()|||[1].lock()|||Monitor.Enter([1])|||[1].lock()|||[1].lock()|||\text{lock}([1])
🔓|||mutex_unlock|||Release Mutex Lock|||[1].release()|||not_supported|||drop(_guard)|||[1].Unlock()|||[1].unlock()|||[1].unlock()|||Monitor.Exit([1])|||[1].unlock()|||[1].unlock()|||\text{unlock}([1])
# ==========================================
# SECTION 24 : Custom Types & Enumerations
# ==========================================
🏷️|||enum|||Enum Declaration|||class [1](Enum):|||Object.freeze({[2]})|||enum [1] { [2] }|||type [1] int; const (...) |||enum [1] { [2] }|||enum class [1] { [2] };|||enum [1] { [2] }|||enum [1] { case [2] }|||enum class [1] { [2] }|||\text{enum } [1]
📌|||const|||Constant Declaration|||[1] = [2]|||const [1] = [2]|||const [1]: [3] = [2];|||const [1] = [2]|||final [3] [1] = [2];|||const [3] [1] = [2];|||const [3] [1] = [2];|||let [1] = [2]|||const val [1] = [2]|||[1] \equiv [2]
# ==========================================
# SECTION 25 : String & Number Formatting
# ==========================================
🎯|||fmt_float|||Format Float (2 Decimal Places)|||f"{[1]:.2f}"|||[1].toFixed(2)|||format!("{:.2}", [1])|||fmt.Sprintf("%.2f", [1])|||String.format("%.2f", [1])|||std::format("{:.2f}", [1])|||$"{[1]:F2}"|||String(format: "%.2f", [1])|||String.format("%.2f", [1])|||\text{round}([1], 2)
# ==========================================
# SECTION 26 : Sets & Unique Collections
# ==========================================
🎨|||set_init|||Set Initialization|||set([1])|||new Set([1])|||std::collections::HashSet::from_iter([1])|||map[any]bool{[1]: true}|||new HashSet<>(List.of([1]))|||std::set<any>({[1]})|||new HashSet<any>([1])|||Set([1])|||setOf([1])|||\{[1]\}
➕|||set_add|||Add Element to Set|||[1].add([2])|||[1].add([2])|||[1].insert([2])|||[1][[2]] = true|||[1].add([2])|||[1].insert([2])|||[1].Add([2])|||[1].insert([2])|||[1].add([2])|||[1] \cup \{[2]\}
❌|||set_remove|||Remove Element from Set|||[1].remove([2])|||[1].delete([2])|||[1].remove(&[2])|||delete([1], [2])|||[1].remove([2])|||[1].erase([2])|||[1].Remove([2])|||[1].remove([2])|||[1].remove([2])|||[1] \setminus \{[2]\}
🤝|||set_union|||Set Union|||[1] | [2]|||new Set([...[1], ...[2]])|||[1].union(&[2])|||/* manual loop */|||new HashSet<>(){{addAll([1]); addAll([2]);}}|||/* std::set_union */|||new HashSet<any>([1]).Union([2])|||[1].union([2])|||[1].union([2])|||[1] \cup [2]
# ==========================================
# SECTION 27 : Type Inspection & Reflection
# ==========================================
🔍|||type_of|||Get Type Name / Class|||type([1]).__name__|||typeof [1]|||std::any::type_name::<T>()|||reflect.TypeOf([1]).Name()|||[1].getClass().getSimpleName()|||typeid([1]).name()|||[1].GetType().Name|||String(describing: type(of: [1]))|||[1]::class.simpleName||\text{type}([1])
🧬|||is_instance|||Check Instance Type|||isinstance([1], [2])|||[1] instanceof [2]|||/* trait bound / Any */|||_, ok := any([1]).([2])|||[1] instanceof [2]|||dynamic_cast<[2]*>(&[1]) != nullptr|||[1] is [2]|||[1] is [2]|||[1] is [2]|||[1] \in [2]
# ==========================================
# SECTION 28 : Advanced Functional Reductions
# ==========================================
🌀|||reduce|||Accumulate / Fold Collection|||functools.reduce([1], [2])|||[2].reduce([1])|||[2].iter().fold(init, [1])|||/* manual loop */|||[2].stream().reduce(init, [1])|||std::accumulate([2].begin(), [2].end(), init, [1])|||[2].Aggregate([1])|||[2].reduce(init, [1])|||[2].reduce([1])||\text{fold}([1], [2])
∀|||all|||Check If All Match Predicate|||all([1](x) for x in [2])|||[2].every([1])|||[2].iter().all([1])|||/* manual loop */|||[2].stream().allMatch([1])|||std::all_of([2].begin(), [2].end(), [1])|||[2].All([1])|||[2].all([1])|||[2].all([1])||\forall x \in [2], [1](x)
∃|||any|||Check If Any Match Predicate|||any([1](x) for x in [2])|||[2].some([1])|||[2].iter().any([1])|||/* manual loop */|||[2].stream().anyMatch([1])|||std::any_of([2].begin(), [2].end(), [1])|||[2].Any([1])|||[2].contains(where: [1])|||[2].any([1])||\exists x \in [2], [1](x)
# ==========================================
# SECTION 29 : Base64 Data Encoding
# ==========================================
📦|||b64_encode|||Base64 String Encoding|||base64.b64encode([1].encode()).decode()|||btoa([1])|||base64::encode([1])|||base64.StdEncoding.EncodeToString([]byte([1]))|||Base64.getEncoder().encodeToString([1].getBytes())|||/* manual/openssl */|||Convert.ToBase64String(Encoding.UTF8.GetBytes([1]))|||Data([1].utf8).base64EncodedString()|||Base64.getEncoder().encodeToString([1].toByteArray())|||\text{b64enc}([1])
📦|||b64_decode|||Base64 String Decoding|||base64.b64decode([1]).decode()|||atob([1])|||String::from_utf8(base64::decode([1]).unwrap()).unwrap()|||res, _ := base64.StdEncoding.DecodeString([1])|||new String(Base64.getDecoder().decode([1]))|||/* manual/openssl */|||Encoding.UTF8.GetString(Convert.FromBase64String([1]))|||String(data: Data(base64Encoded: [1])!, encoding: .utf8)|||String(Base64.getDecoder().decode([1]))|||\text{b64dec}([1])
# ==========================================
# SECTION 30 : URL Percent Utilities
# ==========================================
🔗|||url_encode|||URL Percent Encoding|||urllib.parse.quote([1])|||encodeURIComponent([1])|||urlencoding::encode([1])|||url.QueryEscape([1])|||URLEncoder.encode([1], StandardCharsets.UTF_8)|||/* manual */|||Uri.EscapeDataString([1])|||[1].addingPercentEncoding(withAllowedCharacters: .urlQueryAllowed)|||URLEncoder.encode([1], "UTF-8")|||\text{urlenc}([1])
🔗|||url_decode|||URL Percent Decoding|||urllib.parse.unquote([1])|||decodeURIComponent([1])|||urlencoding::decode([1]).unwrap()|||url.QueryUnescape([1])|||URLDecoder.decode([1], StandardCharsets.UTF_8)|||/* manual */|||Uri.UnescapeDataString([1])|||[1].removingPercentEncoding|||URLDecoder.decode([1], "UTF-8")|||\text{urldec}([1])
# ==========================================
# SECTION 31 : Continuous Math Boundaries
# ==========================================
📉|||math_min|||Minimum Bounds Value|||min([1], [2])|||Math.min([1], [2])|||[1].min([2])|||math.Min([1], [2])|||Math.min([1], [2])|||std::min([1], [2])|||Math.Min([1], [2])|||min([1], [2])|||min([1], [2])|||\min([1], [2])
📈|||math_max|||Maximum Bounds Value|||max([1], [2])|||Math.max([1], [2])|||[1].max([2])|||math.Max([1], [2])|||Math.max([1], [2])|||std::max([1], [2])|||Math.Max([1], [2])|||max([1], [2])|||max([1], [2])|||\max([1], [2])
📐|||math_floor|||Floor Boundary Mapping|||math.floor([1])|||Math.floor([1])|||[1].floor()|||math.Floor([1])|||Math.floor([1])|||std::floor([1])|||Math.Floor([1])|||floor([1])|||floor([1])|||\lfloor [1] \rfloor
📐|||math_ceil|||Ceiling Boundary Mapping|||math.ceil([1])|||Math.ceil([1])|||[1].ceil()|||math.Ceil([1])|||Math.ceil([1])|||std::ceil([1])|||Math.Ceiling([1])|||ceil([1])|||ceil([1])|||\lceil [1] \rceil
# ==========================================
# SECTION 32 : UUID & Random Identifiers
# ==========================================
🆔|||uuid_v4|||Generate UUID v4|||import uuid; str(uuid.uuid4())|||crypto.randomUUID()|||uuid::Uuid::new_v4().to_string()|||uuid.New().String()|||UUID.randomUUID().toString()|||/* non-standard */|||Guid.NewGuid().ToString()|||UUID().uuidString|||UUID.randomUUID().toString()|||\text{uuid}_{4}()
# ==========================================
# SECTION 33 : Path & Directory Operations
# ==========================================
